This is a tab delimited file. If you are seeing this in your web browser, you 
probably want to use the "Save target as..." right-click option, or the 
"Download link to disk..." option on macintosh browsers. (Mac users, hold down 
the mouse button over the link until the pop-up menu appears.)
This text file contains the red:green ratios 
from hybridizations done with arrays containing all the elements 
of the yeast genome.  The "i" preceding the element indicates 
that the spot of DNA corresponds to an intergenic segment of DNA 
to the right of the indicated element.  Blanks indicate that the 
spot on the array corresponding to that element did not contain 
usable data.


NAME	FX6	FX4
iYBR027C	0.79	0.94
iYBR028C	1.06	0.99
iYBR029C	1.04	0.97
iYBR030W	1.18	1.16
iYBR031W	1.23	1.16
iYBR032W	1.08	1.07
iYBR033W	0.88	0.95
iYBR034C	1.17	0.91
iYBR035C	1.04	0.98
iYBR036C	0.69	0.69
iYBR037C	0.74	0.68
iYBR038W	1.08	0.94
iYBR039W	1.43	0.96
iYBR040W	1.08	0.97
iYBR041W	0.81	0.78
iYBR042C	0.73	0.83
iYBR043C	1.11	0.98
iYBR044C	1.18	1
iYBR045C	0.98	0.97
iYBR046C	0.91	0.82
iYBR047W	1.24	0.96
iYBR048W	0.81	0.62
iYBR049C	0.8	0.83
iYBR051W	1.09	0.97
iYBR052C	1.09	0.98
iYBR053C-0	1.58	1.47
iYBR053C-1	2.55	1.74
iYBR054W	0.96	0.88
iYBR055C	1.21	0.97
iYBR056W	1.26	1.09
iYBR057C	0.74	1.03
iYBR058C	0.94	1.1
iYBR059C	0.72	0.88
iYBR060C-0	1.14	1.19
iYBR060C-1	0.54	0.79
iYBR061C	0.94	1.04
iYBR062C	0.73	0.75
iYBR064W	0.98	1.04
iYBR065C	0.69	0.65
iYBR066C	1.17	1.11
iYBR067C	0.85	0.91
iYBR068C	1.29	1.17
iYBR069C	0.8	0.7
iYBR070C	1.28	1.08
iYBR071W	1.12	0.95
iYBR072W	1.22	1.1
iYBR073W	0.61	0.62
iYBR074W	1	0.93
iYBR075W	0.8	0.86
iYBR076W	0.99	1.17
iYBR077C	0.8	0.98
iYBR078W	0.7	0.72
iYBR079C	0.51	0.49
iYBR080C	0.62	0.65
iYBR081C	0.86	0.64
iYBR082C-0	0.67	0.78
iYBR082C-1	1.02	0.82
iYBR083W	0.61	0.6
iYBR084C-A	0.95	0.92
iYBR084W	0.88	0.87
iYBR085W-0	1.12	0.92
iYBR085W-1	0.68	0.58
iYBR085W-2	0.55	0.73
iYBR086C	0.59	0.4
iYBR087W	0.56	0.78
iYBR089W	0.9	0.64
iYBR090C	0.46	0.6
iYBR091C	0.5	0.35
iYBR092C	0.77	0.74
iYBR093C	0.78	0.7
iYBR094W	0.56	0.71
iYBR095C	0.78	0.62
iYBR096W	0.7	0.84
iYBR097W	0.56	0.77
iYBR100W	1.04	1.18
iYBR101C	0.84	0.96
iYBR102C	0.99	1.09
iYBR103W	0.75	0.79
iYBR104W	1.02	1.18
iYBR105C	1.49	1.3
iYBR106W	1.56	1.73
iYBR107C	1.21	1.18
iYBR108W	1.36	1.11
iYBR109C	0.93	0.98
iYBR110W	1.26	1.2
iYBR111C	0.8	0.8
iYBR113W	1.11	1.22
iYBR114W	0.55	0.61
iYBR115C	1.45	1.22
iYBR117C	0.98	0.91
iYBR118W	0.82	0.95
iYBR119W	0.6	0.73
iYBR120C	1.06	0.95
iYBR121C	0.97	0.85
iYBR122C	0.9	0.98
iYBR124W	0.95	0.84
iYBR125C	1.31	1.14
iYBR126C	0.68	0.73
iYBR127C	1.1	1.04
iYBR128C	0.68	0.81
iYBR129C	1.07	1.08
iYBR130C	1.1	0.74
iYBR131W	0.91	0.78
iYBR132C	1.15	1.08
iYBR134W	1.37	1.07
iYBR135W	1.1	0.95
iYBR136W	0.98	0.74
iYBR137W	0.82	0.72
iYBR138C	1.01	0.78
iYBR139W	0.58	0.35
